group_number,day,batch_number,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1,Tuesday,3,58796.0,for_sale,289000.0,3.0,3.0,0.14,1050111.0,Holyoke,Massachusetts,1040.0,1978.0,2009-06-24
1,Tuesday,3,16607.0,for_sale,299900.0,8.0,4.0,0.14,1751721.0,Greenfield,Massachusetts,1301.0,4192.0,2011-09-28
1,Tuesday,3,16607.0,for_sale,235000.0,2.0,1.0,0.27,1685992.0,Greenfield,Massachusetts,1301.0,1200.0,2006-02-17
1,Tuesday,3,30212.0,for_sale,299900.0,3.0,2.0,0.53,821238.0,Granby,Massachusetts,1033.0,880.0,2018-03-19
1,Tuesday,3,22637.0,for_sale,299900.0,3.0,2.0,0.2,848516.0,Chicopee,Massachusetts,1020.0,1584.0,2020-09-18
1,Tuesday,3,53310.0,for_sale,219900.0,3.0,2.0,0.05,732995.0,Orange,Massachusetts,1364.0,1092.0,2005-05-04
1,Tuesday,3,22188.0,for_sale,156750.0,3.0,1.0,0.47,1434443.0,Athol,Massachusetts,1331.0,1268.0,2004-12-21
1,Tuesday,3,8147.0,for_sale,219000.0,3.0,1.0,0.15,1192711.0,Chicopee,Massachusetts,1020.0,1170.0,2008-01-03
1,Tuesday,3,56729.0,for_sale,259900.0,3.0,2.0,0.27,173926.0,Chicopee,Massachusetts,1013.0,1265.0,2000-10-18
1,Tuesday,3,41995.0,for_sale,299987.0,4.0,2.0,0.17,482192.0,Holyoke,Massachusetts,1040.0,2094.0,2003-08-13
1,Tuesday,3,27510.0,for_sale,266000.0,3.0,2.0,0.33,1628470.0,Montague,Massachusetts,1351.0,1770.0,2009-06-25
1,Tuesday,3,27510.0,for_sale,240000.0,3.0,1.0,0.41,1568181.0,Montague,Massachusetts,1351.0,960.0,2002-10-17
1,Tuesday,3,36448.0,for_sale,149900.0,2.0,2.0,0.57,955217.0,Orange,Massachusetts,1364.0,924.0,2008-09-23
1,Tuesday,3,56419.0,for_sale,249900.0,4.0,3.0,0.18,473063.0,Holyoke,Massachusetts,1040.0,4704.0,1989-04-26
1,Tuesday,3,34091.0,for_sale,235000.0,3.0,1.0,0.15,15428.0,Greenfield,Massachusetts,1301.0,1416.0,1998-12-15
1,Tuesday,3,36448.0,for_sale,275000.0,5.0,2.0,2.11,314141.0,Athol,Massachusetts,1331.0,3024.0,1984-04-27
1,Tuesday,3,35025.0,for_sale,265000.0,3.0,1.0,0.4,198555.0,Williamsburg,Massachusetts,1096.0,1529.0,2015-04-30
1,Tuesday,3,58796.0,for_sale,229000.0,4.0,2.0,0.13,589007.0,Holyoke,Massachusetts,1040.0,1529.0,2021-03-22
1,Tuesday,3,67832.0,for_sale,299000.0,3.0,1.0,0.65,90307.0,West Springfield,Massachusetts,1089.0,1424.0,2004-06-28
1,Tuesday,3,97152.0,for_sale,279900.0,4.0,1.0,1.06,917531.0,Holyoke,Massachusetts,1040.0,1243.0,1988-08-30
1,Tuesday,3,30212.0,for_sale,294900.0,6.0,2.0,0.13,1138886.0,Chicopee,Massachusetts,1020.0,2288.0,2019-06-03
1,Tuesday,3,39879.0,for_sale,239900.0,3.0,2.0,0.4,1127243.0,Ware,Massachusetts,1082.0,1911.0,1998-07-27
1,Tuesday,3,33507.0,for_sale,299900.0,3.0,2.0,0.15,1596986.0,Springfield,Massachusetts,1118.0,1613.0,2014-01-30
1,Tuesday,3,22700.0,for_sale,289900.0,5.0,3.0,0.14,1584402.0,Springfield,Massachusetts,1108.0,2328.0,1987-11-20
1,Tuesday,3,11863.0,for_sale,260000.0,3.0,1.0,0.39,185588.0,Palmer,Massachusetts,1069.0,1166.0,2013-01-16
1,Tuesday,3,76368.0,for_sale,129900.0,4.0,2.0,1.0,1106102.0,Brimfield,Massachusetts,1010.0,1765.0,2003-11-26
1,Tuesday,3,108777.0,for_sale,164900.0,2.0,1.0,0.35,955719.0,Brimfield,Massachusetts,1010.0,814.0,2004-01-16
1,Tuesday,3,81218.0,for_sale,115900.0,3.0,1.0,0.25,687776.0,Chester,Massachusetts,1011.0,1367.0,2009-11-13
1,Tuesday,3,35275.0,for_sale,160000.0,1.0,1.0,0.47,1385832.0,Cummington,Massachusetts,1026.0,608.0,2019-10-25
1,Tuesday,3,77236.0,for_sale,149900.0,3.0,2.0,0.24,1069256.0,Becket,Massachusetts,1223.0,1422.0,1994-07-20
1,Tuesday,3,22700.0,for_sale,289900.0,3.0,3.0,0.14,1761666.0,Springfield,Massachusetts,1104.0,1588.0,2005-06-09
1,Tuesday,3,54145.0,for_sale,149900.0,2.0,1.0,3.0,1724901.0,Savoy,Massachusetts,1256.0,980.0,2006-09-20
1,Tuesday,3,98727.0,for_sale,195000.0,2.0,1.0,0.12,1716807.0,Springfield,Massachusetts,1104.0,864.0,1994-06-30
1,Tuesday,3,37775.0,for_sale,299900.0,3.0,2.0,0.37,680813.0,West Springfield,Massachusetts,1089.0,1269.0,2017-11-17
1,Tuesday,3,108015.0,for_sale,299413.0,3.0,2.0,0.34,1131603.0,Westfield,Massachusetts,1085.0,1424.0,2021-11-10
1,Tuesday,3,11863.0,for_sale,129000.0,1.0,1.0,0.09,107725.0,East Longmeadow,Massachusetts,1028.0,793.0,2001-08-10
1,Tuesday,3,108015.0,for_sale,249900.0,3.0,2.0,0.23,652480.0,East Longmeadow,Massachusetts,1028.0,1259.0,2019-05-10
1,Tuesday,3,22637.0,for_sale,279000.0,2.0,1.0,0.38,331847.0,East Longmeadow,Massachusetts,1028.0,988.0,2005-04-28
1,Tuesday,3,19604.0,for_sale,259000.0,3.0,1.0,0.8,201394.0,East Longmeadow,Massachusetts,1028.0,1196.0,2019-10-24
1,Tuesday,3,56729.0,for_sale,299000.0,2.0,2.0,0.46,433322.0,East Longmeadow,Massachusetts,1028.0,1174.0,2001-12-17
1,Tuesday,3,67832.0,for_sale,300000.0,3.0,1.0,0.28,1405171.0,Agawam,Massachusetts,1030.0,1260.0,2006-09-15
1,Tuesday,3,53226.0,for_sale,269900.0,3.0,1.0,1.41,729798.0,Hardwick,Massachusetts,1031.0,1092.0,1989-12-08
1,Tuesday,3,37594.0,for_sale,159900.0,2.0,2.0,0.28,436894.0,Adams,Massachusetts,1220.0,1206.0,2011-10-28
1,Tuesday,3,55379.0,for_sale,150000.0,3.0,1.0,0.09,1033319.0,Springfield,Massachusetts,1104.0,1303.0,1998-08-27
1,Tuesday,3,44941.0,for_sale,199900.0,9.0,3.0,0.13,331092.0,Springfield,Massachusetts,1104.0,3511.0,2005-06-02
1,Tuesday,3,737.0,for_sale,144000.0,1.0,1.0,5.46,1498445.0,Cummington,Massachusetts,1026.0,600.0,2021-05-05
1,Tuesday,3,86588.0,for_sale,139900.0,3.0,1.0,0.17,11380.0,Pittsfield,Massachusetts,1201.0,1180.0,2005-12-06
1,Tuesday,3,10198.0,for_sale,209000.0,3.0,2.0,0.16,1089046.0,Pittsfield,Massachusetts,1201.0,1352.0,2001-11-21
1,Tuesday,3,10856.0,for_sale,231500.0,3.0,1.0,0.31,1120987.0,Pittsfield,Massachusetts,1201.0,1152.0,2000-06-28
1,Tuesday,3,74001.0,for_sale,225000.0,5.0,3.0,0.15,1406923.0,Pittsfield,Massachusetts,1201.0,2549.0,1997-12-01
1,Tuesday,3,4006.0,for_sale,209900.0,4.0,2.0,0.21,840698.0,Pittsfield,Massachusetts,1201.0,1200.0,2005-07-28
1,Tuesday,3,58796.0,for_sale,239999.0,4.0,2.0,0.1,1499921.0,Springfield,Massachusetts,1104.0,2160.0,1988-03-02
1,Tuesday,3,8147.0,for_sale,250000.0,6.0,2.0,0.1,792899.0,Springfield,Massachusetts,1109.0,1728.0,2004-01-07
1,Tuesday,3,40227.0,for_sale,229000.0,10.0,5.0,0.19,106752.0,Pittsfield,Massachusetts,1201.0,4260.0,2002-02-11
1,Tuesday,3,96714.0,for_sale,124900.0,3.0,1.0,0.31,1761444.0,Pittsfield,Massachusetts,1201.0,1892.0,2002-06-07
1,Tuesday,3,53570.0,for_sale,109900.0,6.0,2.0,0.57,482540.0,Hinsdale,Massachusetts,1235.0,2979.0,1993-06-01
1,Tuesday,3,4006.0,for_sale,224900.0,3.0,1.0,0.21,747304.0,Pittsfield,Massachusetts,1201.0,1746.0,1987-07-24
1,Tuesday,3,37594.0,for_sale,254900.0,7.0,4.0,0.4,1104872.0,Adams,Massachusetts,1220.0,2992.0,2007-07-24
1,Tuesday,3,94681.0,for_sale,169900.0,2.0,1.0,0.22,517458.0,Pittsfield,Massachusetts,1201.0,1175.0,1999-06-30
1,Tuesday,3,54145.0,for_sale,149900.0,5.0,3.0,0.1,654271.0,Pittsfield,Massachusetts,1201.0,2027.0,2008-01-18
1,Tuesday,3,65919.0,for_sale,264999.0,2.0,2.0,0.24,458554.0,Pittsfield,Massachusetts,1201.0,1044.0,1991-06-21
1,Tuesday,3,48460.0,for_sale,289000.0,8.0,2.0,0.22,846862.0,Pittsfield,Massachusetts,1201.0,3278.0,1999-01-29
1,Tuesday,3,74001.0,for_sale,289900.0,3.0,2.0,0.17,807761.0,Dalton,Massachusetts,1226.0,1376.0,1987-07-16
1,Tuesday,3,11836.0,for_sale,239000.0,20.0,18.0,0.71,279126.0,Pittsfield,Massachusetts,1201.0,15096.0,2010-11-17
1,Tuesday,3,96714.0,for_sale,239900.0,3.0,2.0,0.2,785619.0,Pittsfield,Massachusetts,1201.0,1572.0,2011-01-07
1,Tuesday,3,11836.0,for_sale,184900.0,12.0,4.0,0.22,143472.0,Pittsfield,Massachusetts,1201.0,4200.0,1993-02-04
1,Tuesday,3,94287.0,for_sale,185000.0,3.0,1.0,0.24,1725459.0,Lanesborough,Massachusetts,1237.0,875.0,2006-10-20
1,Tuesday,3,41392.0,for_sale,299999.0,3.0,2.0,0.23,1556673.0,Pittsfield,Massachusetts,1201.0,1362.0,2005-12-21
1,Tuesday,3,4006.0,for_sale,224900.0,2.0,2.0,0.18,197286.0,Pittsfield,Massachusetts,1201.0,1094.0,2007-09-05
1,Tuesday,3,4006.0,for_sale,80000.0,2.0,1.0,0.34,1336545.0,Pittsfield,Massachusetts,1201.0,791.0,2006-09-01
1,Tuesday,3,69377.0,for_sale,99000.0,2.0,1.0,0.36,597183.0,Adams,Massachusetts,1220.0,1032.0,2005-06-29
1,Tuesday,3,10198.0,for_sale,110000.0,3.0,2.0,0.11,1139171.0,Pittsfield,Massachusetts,1201.0,1122.0,2001-07-12
1,Tuesday,3,54145.0,for_sale,119900.0,4.0,2.0,0.06,562256.0,Pittsfield,Massachusetts,1201.0,1872.0,1981-01-01
1,Tuesday,3,99007.0,for_sale,250000.0,3.0,2.0,0.3,1350423.0,Pittsfield,Massachusetts,1201.0,1260.0,1999-01-29
1,Tuesday,3,11836.0,for_sale,99900.0,2.0,1.0,0.02,14658.0,Adams,Massachusetts,1220.0,640.0,1988-11-04
1,Tuesday,3,11836.0,for_sale,279900.0,4.0,2.0,0.36,131665.0,Pittsfield,Massachusetts,1201.0,1610.0,2008-10-22
1,Tuesday,3,8936.0,for_sale,299900.0,3.0,2.0,0.46,787575.0,Pittsfield,Massachusetts,1201.0,1536.0,2005-09-12
1,Tuesday,3,41392.0,for_sale,229900.0,3.0,1.0,0.18,1169144.0,Pittsfield,Massachusetts,1201.0,1080.0,2006-01-20
1,Tuesday,3,74001.0,for_sale,169000.0,8.0,4.0,0.24,562267.0,Pittsfield,Massachusetts,1201.0,3344.0,1992-04-30
1,Tuesday,3,99007.0,for_sale,269000.0,4.0,1.0,0.77,507995.0,Pittsfield,Massachusetts,1201.0,1644.0,2010-02-03
1,Tuesday,3,65658.0,for_sale,199900.0,3.0,1.0,0.25,1500169.0,Adams,Massachusetts,1220.0,1105.0,1992-10-29
1,Tuesday,3,69377.0,for_sale,139900.0,1.0,1.0,0.25,956233.0,Adams,Massachusetts,1220.0,766.0,2006-06-09
1,Tuesday,3,94287.0,for_sale,275000.0,4.0,2.0,0.2,269698.0,Adams,Massachusetts,1220.0,1846.0,2009-10-02
1,Tuesday,3,7915.0,for_sale,209000.0,6.0,2.0,0.12,1794179.0,Pittsfield,Massachusetts,1201.0,2664.0,1980-04-01
1,Tuesday,3,67832.0,for_sale,189900.0,2.0,1.0,0.12,1314796.0,Pittsfield,Massachusetts,1201.0,841.0,1997-10-31
1,Tuesday,3,3357.0,for_sale,159900.0,3.0,2.0,0.23,1245552.0,Dalton,Massachusetts,1226.0,1452.0,2001-07-06
1,Tuesday,3,10198.0,for_sale,214900.0,3.0,1.0,0.14,1708200.0,Dalton,Massachusetts,1226.0,1522.0,2005-10-11
1,Tuesday,3,38155.0,for_sale,249900.0,3.0,2.0,0.16,955343.0,Pittsfield,Massachusetts,1201.0,1809.0,2017-11-08
1,Tuesday,3,55379.0,for_sale,170000.0,3.0,1.0,0.21,1136491.0,Adams,Massachusetts,1220.0,1632.0,2008-05-07
1,Tuesday,3,41392.0,for_sale,265000.0,3.0,3.0,0.17,1244920.0,Pittsfield,Massachusetts,1201.0,1326.0,2007-03-29
1,Tuesday,3,10859.0,for_sale,219900.0,2.0,1.0,0.39,15653.0,Pittsfield,Massachusetts,1201.0,720.0,2006-12-29
1,Tuesday,3,37775.0,for_sale,24900.0,7.0,3.0,0.24,174347.0,Springfield,Massachusetts,1105.0,3727.0,2006-12-28
1,Tuesday,3,77281.0,for_sale,299000.0,3.0,1.0,10.75,497028.0,Sandisfield,Massachusetts,1255.0,1056.0,2008-03-11
1,Tuesday,3,37036.0,for_sale,249900.0,6.0,2.0,0.13,794607.0,Springfield,Massachusetts,1108.0,2580.0,2009-08-14
1,Tuesday,3,44941.0,for_sale,259900.0,6.0,2.0,0.11,1609610.0,Springfield,Massachusetts,1104.0,2016.0,2006-11-21
1,Tuesday,3,71852.0,for_sale,199919.0,4.0,1.0,0.1,332715.0,Springfield,Massachusetts,1107.0,1410.0,1989-03-10
1,Tuesday,3,37036.0,for_sale,159900.0,4.0,2.0,0.11,325234.0,Springfield,Massachusetts,1109.0,1525.0,1991-10-23
1,Tuesday,3,8147.0,for_sale,295000.0,3.0,2.0,0.17,848518.0,Longmeadow,Massachusetts,1106.0,2038.0,1978-03-01
1,Tuesday,3,10587.0,for_sale,269900.0,4.0,2.0,0.14,131866.0,Springfield,Massachusetts,1109.0,1648.0,1979-11-20
1,Tuesday,3,53016.0,for_sale,279000.0,6.0,3.0,0.17,1616305.0,Springfield,Massachusetts,1108.0,3056.0,2002-08-29
1,Tuesday,3,8147.0,for_sale,225000.0,2.0,2.0,0.11,1336387.0,Springfield,Massachusetts,1104.0,1224.0,2002-07-30
1,Tuesday,3,71852.0,for_sale,235000.0,3.0,1.0,0.11,601370.0,Westfield,Massachusetts,1085.0,1248.0,1998-10-30
1,Tuesday,3,108015.0,for_sale,227000.0,3.0,1.0,0.15,426890.0,Springfield,Massachusetts,1104.0,1080.0,2005-05-27
1,Tuesday,3,10859.0,for_sale,129900.0,4.0,2.0,0.2,1629557.0,Pittsfield,Massachusetts,1201.0,1712.0,2009-06-25
1,Tuesday,3,87412.0,for_sale,200000.0,3.0,1.0,0.3,794221.0,Lanesborough,Massachusetts,1237.0,1750.0,2002-11-27
1,Tuesday,3,10198.0,for_sale,115000.0,3.0,1.0,0.13,916791.0,Adams,Massachusetts,1220.0,1642.0,2000-06-30
1,Tuesday,3,11836.0,for_sale,249900.0,2.0,1.0,0.22,981443.0,Hinsdale,Massachusetts,1235.0,706.0,1997-03-28
1,Tuesday,3,94287.0,for_sale,259000.0,8.0,3.0,0.13,1052603.0,Pittsfield,Massachusetts,1201.0,2996.0,2007-05-15
1,Tuesday,3,10859.0,for_sale,169900.0,6.0,2.0,0.13,1313168.0,Pittsfield,Massachusetts,1201.0,2060.0,1996-12-03
1,Tuesday,3,7915.0,for_sale,230000.0,8.0,4.0,0.2,195333.0,Pittsfield,Massachusetts,1201.0,3904.0,2005-05-20
1,Tuesday,3,8147.0,for_sale,199900.0,4.0,2.0,0.12,1708274.0,Springfield,Massachusetts,1104.0,1600.0,2007-11-05
1,Tuesday,3,5934.0,for_sale,209000.0,2.0,2.0,0.11,1087443.0,Springfield,Massachusetts,1104.0,1240.0,2002-06-03
1,Tuesday,3,44941.0,for_sale,179900.0,5.0,2.0,0.11,1511606.0,Springfield,Massachusetts,1109.0,1892.0,2001-06-21
1,Tuesday,3,77236.0,for_sale,139900.0,2.0,1.0,0.11,1395742.0,Springfield,Massachusetts,1104.0,944.0,2004-07-06
1,Tuesday,3,33505.0,for_sale,250000.0,6.0,3.0,0.15,1486476.0,Springfield,Massachusetts,1109.0,3696.0,1982-12-20
1,Tuesday,3,71852.0,for_sale,250000.0,4.0,2.0,0.11,763800.0,Springfield,Massachusetts,1108.0,1806.0,1998-10-30
1,Tuesday,3,98443.0,for_sale,234900.0,3.0,1.0,0.14,458744.0,Springfield,Massachusetts,1104.0,1063.0,2003-06-25
1,Tuesday,3,8147.0,for_sale,239900.0,3.0,2.0,0.12,1660890.0,Springfield,Massachusetts,1109.0,1248.0,1992-12-10
1,Tuesday,3,22700.0,for_sale,223500.0,4.0,1.0,0.1,1138124.0,Springfield,Massachusetts,1109.0,1848.0,1996-04-22
1,Tuesday,3,10198.0,for_sale,139000.0,2.0,2.0,0.88,856042.0,Sheffield,Massachusetts,1222.0,1193.0,1994-04-25
1,Tuesday,3,80325.0,for_sale,269000.0,5.0,2.0,0.11,1169296.0,Springfield,Massachusetts,1108.0,1634.0,2021-10-12
1,Tuesday,3,22700.0,for_sale,249900.0,3.0,2.0,0.11,981278.0,Springfield,Massachusetts,1108.0,1902.0,1983-09-20
1,Tuesday,3,37775.0,for_sale,265000.0,4.0,3.0,0.11,321258.0,Springfield,Massachusetts,1108.0,1728.0,2011-11-04
1,Tuesday,3,81669.0,for_sale,70000.0,7.0,3.0,0.11,560909.0,Springfield,Massachusetts,1109.0,3035.0,1978-08-20
1,Tuesday,3,13414.0,for_sale,235000.0,4.0,3.0,0.13,1521830.0,Springfield,Massachusetts,1109.0,1625.0,2005-11-14
1,Tuesday,3,6347.0,for_sale,219900.0,4.0,1.0,0.65,199058.0,Westfield,Massachusetts,1085.0,2120.0,1999-08-31
1,Tuesday,3,77236.0,for_sale,237900.0,2.0,2.0,1.0,326101.0,Westfield,Massachusetts,1085.0,1341.0,2022-01-05
1,Tuesday,3,35025.0,for_sale,289900.0,4.0,2.0,0.11,143330.0,Springfield,Massachusetts,1104.0,1742.0,1998-03-27
